081124060  2    1.751    3.787 none ---    ---     ---   ---    ---   ---      ---     ---     ---    ---      ---    -    ---      ---              -       -
081124060  3    3.787    6.145 none ---    ---     ---   ---    ---   ---      ---     ---     ---    ---      ---    -    ---      ---              -       -
081124060  4    6.145    9.855 none ---    ---     ---   ---    ---   ---      ---     ---     ---    ---      ---    -    ---      ---              -       -
081124060  5    9.855   11.601 none ---    ---     ---   ---    ---   ---      ---     ---     ---    ---      ---    -    ---      ---              -       -
081124060  6   11.601   12.398 none ---    ---     ---   ---    ---   ---      ---     ---     ---    ---      ---    -    ---      ---              -       -
081124060  7   12.398   13.148 none ---    ---     ---   ---    ---   ---      ---     ---     ---    ---      ---    -    ---      ---              -       -
081124060  8   13.148   14.081 none ---    ---     ---   ---    ---   ---      ---     ---     ---    ---      ---    -    ---      ---              -       -
081124060  9   14.081   15.050 none ---    ---     ---   ---    ---   ---      ---     ---     ---    ---      ---    -    ---      ---              -       -
081124060 10   15.050   16.379 none ---    ---     ---   ---    ---   ---      ---     ---     ---    ---      ---    -    ---      ---              -       -
081124060 11   16.379   21.047 none ---    ---     ---   ---    ---   ---      ---     ---     ---    ---      ---    -    ---      ---              -       -
081124060 12   21.047   28.672 none ---    ---     ---   ---    ---   ---      ---     ---     ---    ---      ---    -    ---      ---              -       -
081125496  1   -1.024    1.766 COMP 0.0365 0.0074 -0.549 0.099  ---   ---    362.20   46.00    ---    ---    382.4  357    7.9540   1.0     1.8552E-06 1.8E-07
081125496  2    1.766    2.406 COMP 0.1714 0.0363 -0.247 0.102  ---   ---    262.60   20.90    ---    ---    358.3  357   24.450    3.0     5.0687E-06 4.8E-07
081125496  3    2.406    2.939 COMP 0.3604 0.0862 -0.023 0.114  ---   ---    211.20   13.30    ---    ---    374.68 357   35.261    4.6     6.4840E-06 6.8E-07
081125496  4    2.939    3.615 COMP 0.3372 0.1270 -0.064 0.132  ---   ---    157.10   10.30    ---    ---    415.03 357   24.927    5.9     3.4839E-06 7.5E-07
081125496  5    3.615    4.534 PL   0.0069 0.0021 -1.447 0.032  ---   ---      ---     ---     ---    ---    541.67 358    3.7802   1.2     6.5998E-07 2.0E-07
081125496  6    4.534    5.593 PL   0.0103 0.0025 -1.483 0.034  ---   ---      ---     ---     ---    ---    563.57 358    5.7979   1.5     9.5561E-07 2.2E-07
081125496  7    5.593    6.695 none ---    ---     ---   ---    ---   ---      ---     ---     ---    ---      ---    -    ---      ---              -       -
081125496  8    6.695   12.288 none ---    ---     ---   ---    ---   ---      ---     ---     ---    ---      ---    -    ---      ---              -       -
081207680  1   -5.120   12.357 COMP 0.0142 0.0042  0.098 0.147  ---   ---    244.20   20.10    ---    ---    597.18 357    1.5019   0.28    3.2644E-07 5.4E-08
081207680  2   12.357   22.424 COMP 0.0124 0.0021 -0.292 0.092  ---   ---    401.40   38.00    ---    ---    501.84 357    2.5508   0.27    7.3378E-07 6.5E-08
081207680  3   22.424   30.383 BAND 0.0207 0.0040 -0.129 0.123 -2.060 0.128  335.80   40.70  176.02  22.04   380.9  356    3.5702   0.32    1.0782E-06 7.8E-08
081207680  4   30.383   36.765 COMP 0.0108 0.0013 -0.702 0.057  ---   ---    848.90  122.00    ---    ---    433.38 357    3.6447   0.31    1.2123E-06 8.3E-08
081207680  5   36.765   42.155 COMP 0.0107 0.0013 -0.738 0.058  ---   ---    874.30  139.00    ---    ---    311.23 357    3.6584   0.34    1.1908E-06 9.1E-08
081207680  6   42.155   48.744 COMP 0.0126 0.0017 -0.624 0.065  ---   ---    591.30   73.30    ---    ---    382.79 357    3.6544   0.35    1.1021E-06 8.3E-08
081207680  7   48.744   56.238 COMP 0.0099 0.0016 -0.805 0.063  ---   ---    615.10  102.00    ---    ---    471.89 357    3.1177   0.36    8.3066E-07 7.9E-08
081207680  8   56.238   64.930 COMP 0.0084 0.0014 -0.918 0.060  ---   ---    734.70  154.00    ---    ---    473.85 357    2.9060   0.35    7.5081E-07 7.4E-08
081207680  9   64.930   80.441 COMP 0.0073 0.0020 -0.878 0.093  ---   ---    382.00   80.30    ---    ---    447.32 357    2.0242   0.38    3.9800E-07 6.0E-08
081207680 10   80.441  112.640 none ---    ---     ---   ---    ---   ---      ---     ---     ---    ---      ---    -    ---      ---              -       -
081215784  1   -3.072    1.414 COMP 0.0136 0.0009 -0.793 0.036  ---   ---   1443.00  151.00    ---    ---    479.26 477    5.2806   0.31    1.8778E-06 8.7E-08
081215784  2    1.414    1.493 BAND 0.3859 0.0267 -0.365 0.043 -2.629 0.152  942.30   70.00  653.53  59.18   448.68 476  137.17     6.6     6.1365E-05 2.4E-06
081215784  3    1.493    1.574 SBPL 0.3485 0.0245 -0.466 0.043 -2.376 0.100  643.11   80.89  393.90  40.20   458.3  476  138.82     7.2     5.5354E-05 2.2E-06
081215784  4    1.574    1.704 BAND 0.3623 0.0383 -0.400 0.057 -2.240 0.087  499.00   44.30  290.57  26.96   533.15 476   90.636    5.4     2.9221E-05 1.4E-06
081215784  5    1.704    1.926 BAND 0.2672 0.0365 -0.498 0.065 -2.308 0.124  358.30   34.50  219.36  23.25   464.13 476   56.904    4.3     1.4281E-05 8.6E-07
081215784  6    1.926    2.437 BAND 0.2202 0.0382 -0.453 0.086 -2.137 0.097  210.00   19.40  117.90  11.40   552.38 476   32.522    3.0     6.3295E-06 4.9E-07
081215784  7    2.437    3.159 COMP 0.0835 0.0114 -0.874 0.046  ---   ---    336.50   27.70    ---    ---    542.3  477   22.095    2.2     4.0362E-06 3.4E-07
081215784  8    3.159    3.643 COMP 0.1328 0.0158 -0.648 0.048  ---   ---    368.20   25.10    ---    ---    539.34 477   31.016    2.5     6.9123E-06 4.5E-07
081215784  9    3.643    3.913 COMP 0.2312 0.0226 -0.571 0.043  ---   ---    424.30   25.00    ---    ---    527.36 477   55.739    3.8     1.4312E-05 7.6E-07
081215784 10    3.913    4.365 COMP 0.2762 0.0478 -0.515 0.060  ---   ---    207.70   10.60    ---    ---    525.9  477   41.130    4.7     6.3428E-06 6.3E-07
081215784 11    4.365    4.821 COMP 0.1460 0.0216 -0.670 0.053  ---   ---    280.90   18.30    ---    ---    526.6  477   30.062    3.1     5.4689E-06 4.8E-07
081215784 12    4.821    5.092 COMP 0.1947 0.0208 -0.515 0.048  ---   ---    395.90   23.40    ---    ---    477.15 477   43.895    3.3     1.1114E-05 6.8E-07
081215784 13    5.092    5.225 COMP 0.3067 0.0247 -0.551 0.039  ---   ---    599.50   36.20    ---    ---    522.62 477   87.595    5.2     2.8017E-05 1.3E-06
081215784 14    5.225    5.460 SBPL 0.2346 0.0230 -0.587 0.062 -2.525 0.137  233.15   30.36  164.70  17.90   511.01 476   67.244    5.6     1.4142E-05 9.6E-07
081215784 15    5.460    6.208 COMP 0.1181 0.0200 -0.747 0.055  ---   ---    232.30   14.80    ---    ---    514.57 477   23.612    2.8     3.6027E-06 3.8E-07
